l5x_path,status,error_count,messages
C:\Users\JamesH\source\repos\jholm90\logixMemoryMap\scripts\l5x_validator\bin\Release\net10.0\negative_control_fixtures\KNOWN_BAD_instr_cps_n00010.L5X,FAILED,2,KNOWN_BAD_instr_cps_n00010.L5X: Build threw OperationFailedException: Operation not supported on Logix Designer version 35.5. C:\Users\JamesH\source\repos\jholm90\logixMemoryMap\scripts\l5x_validator\bin\Release\net10.0\negative_control_fixtures\KNOWN_BAD_instr_cps_n00010.L5X | KNOWN_BAD_instr_cps_n00010.L5X: [exception] OperationFailedException: Operation not supported on Logix Designer version 35.5. (C:\Users\JamesH\source\repos\jholm90\logixMemoryMap\scripts\l5x_validator\bin\Release\net10.0\negative_control_fixtures\KNOWN_BAD_instr_cps_n00010.L5X)
C:\Users\JamesH\source\repos\jholm90\logixMemoryMap\scripts\l5x_validator\bin\Release\net10.0\negative_control_fixtures\KNOWN_BAD_instr_t_add_n00010.L5X,FAILED,2,KNOWN_BAD_instr_t_add_n00010.L5X: Build threw OperationFailedException: Operation not supported on Logix Designer version 35.5. C:\Users\JamesH\source\repos\jholm90\logixMemoryMap\scripts\l5x_validator\bin\Release\net10.0\negative_control_fixtures\KNOWN_BAD_instr_t_add_n00010.L5X | KNOWN_BAD_instr_t_add_n00010.L5X: [exception] OperationFailedException: Operation not supported on Logix Designer version 35.5. (C:\Users\JamesH\source\repos\jholm90\logixMemoryMap\scripts\l5x_validator\bin\Release\net10.0\negative_control_fixtures\KNOWN_BAD_instr_t_add_n00010.L5X)
C:\Users\JamesH\source\repos\jholm90\logixMemoryMap\scripts\l5x_validator\bin\Release\net10.0\negative_control_fixtures\KNOWN_BAD_instr_cps_n00010.L5X,FAILED,2,KNOWN_BAD_instr_cps_n00010.L5X: Build threw OperationFailedException: Operation not supported on Logix Designer version 35.5. C:\Users\JamesH\source\repos\jholm90\logixMemoryMap\scripts\l5x_validator\bin\Release\net10.0\negative_control_fixtures\KNOWN_BAD_instr_cps_n00010.L5X | KNOWN_BAD_instr_cps_n00010.L5X: [exception] OperationFailedException: Operation not supported on Logix Designer version 35.5. (C:\Users\JamesH\source\repos\jholm90\logixMemoryMap\scripts\l5x_validator\bin\Release\net10.0\negative_control_fixtures\KNOWN_BAD_instr_cps_n00010.L5X)
C:\Users\JamesH\source\repos\jholm90\logixMemoryMap\scripts\l5x_validator\bin\Release\net10.0\negative_control_fixtures\KNOWN_BAD_instr_t_add_n00010.L5X,FAILED,2,KNOWN_BAD_instr_t_add_n00010.L5X: Build threw OperationFailedException: Operation not supported on Logix Designer version 35.5. C:\Users\JamesH\source\repos\jholm90\logixMemoryMap\scripts\l5x_validator\bin\Release\net10.0\negative_control_fixtures\KNOWN_BAD_instr_t_add_n00010.L5X | KNOWN_BAD_instr_t_add_n00010.L5X: [exception] OperationFailedException: Operation not supported on Logix Designer version 35.5. (C:\Users\JamesH\source\repos\jholm90\logixMemoryMap\scripts\l5x_validator\bin\Release\net10.0\negative_control_fixtures\KNOWN_BAD_instr_t_add_n00010.L5X)
C:\Users\JamesH\source\repos\jholm90\logixMemoryMap\scripts\l5x_validator\bin\Release\net10.0\negative_control_fixtures\KNOWN_GOOD_instr_xic_n00010.L5X,FAILED,2,KNOWN_GOOD_instr_xic_n00010.L5X: Build threw OperationFailedException: Operation not supported on Logix Designer version 35.5. C:\Users\JamesH\source\repos\jholm90\logixMemoryMap\scripts\l5x_validator\bin\Release\net10.0\negative_control_fixtures\KNOWN_GOOD_instr_xic_n00010.L5X | KNOWN_GOOD_instr_xic_n00010.L5X: [exception] OperationFailedException: Operation not supported on Logix Designer version 35.5. (C:\Users\JamesH\source\repos\jholm90\logixMemoryMap\scripts\l5x_validator\bin\Release\net10.0\negative_control_fixtures\KNOWN_GOOD_instr_xic_n00010.L5X)
C:\Users\JamesH\source\repos\jholm90\logixMemoryMap\scripts\l5x_validator\bin\Release\net10.0\negative_control_fixtures\KNOWN_BAD_instr_cps_n00010.L5X,FAILED,2,KNOWN_BAD_instr_cps_n00010.L5X: Build threw OperationFailedException: Operation not supported on Logix Designer version 35.5. C:\Users\JamesH\source\repos\jholm90\logixMemoryMap\scripts\l5x_validator\bin\Release\net10.0\negative_control_fixtures\KNOWN_BAD_instr_cps_n00010.L5X | KNOWN_BAD_instr_cps_n00010.L5X: [exception] OperationFailedException: Operation not supported on Logix Designer version 35.5. (C:\Users\JamesH\source\repos\jholm90\logixMemoryMap\scripts\l5x_validator\bin\Release\net10.0\negative_control_fixtures\KNOWN_BAD_instr_cps_n00010.L5X)
C:\Users\JamesH\source\repos\jholm90\logixMemoryMap\scripts\l5x_validator\bin\Release\net10.0\negative_control_fixtures\KNOWN_BAD_instr_t_add_n00010.L5X,FAILED,2,KNOWN_BAD_instr_t_add_n00010.L5X: Build threw OperationFailedException: Operation not supported on Logix Designer version 35.5. C:\Users\JamesH\source\repos\jholm90\logixMemoryMap\scripts\l5x_validator\bin\Release\net10.0\negative_control_fixtures\KNOWN_BAD_instr_t_add_n00010.L5X | KNOWN_BAD_instr_t_add_n00010.L5X: [exception] OperationFailedException: Operation not supported on Logix Designer version 35.5. (C:\Users\JamesH\source\repos\jholm90\logixMemoryMap\scripts\l5x_validator\bin\Release\net10.0\negative_control_fixtures\KNOWN_BAD_instr_t_add_n00010.L5X)
C:\Users\JamesH\source\repos\jholm90\logixMemoryMap\scripts\l5x_validator\bin\Release\net10.0\negative_control_fixtures\KNOWN_GOOD_instr_xic_n00010.L5X,FAILED,2,KNOWN_GOOD_instr_xic_n00010.L5X: Build threw OperationFailedException: Operation not supported on Logix Designer version 35.5. C:\Users\JamesH\source\repos\jholm90\logixMemoryMap\scripts\l5x_validator\bin\Release\net10.0\negative_control_fixtures\KNOWN_GOOD_instr_xic_n00010.L5X | KNOWN_GOOD_instr_xic_n00010.L5X: [exception] OperationFailedException: Operation not supported on Logix Designer version 35.5. (C:\Users\JamesH\source\repos\jholm90\logixMemoryMap\scripts\l5x_validator\bin\Release\net10.0\negative_control_fixtures\KNOWN_GOOD_instr_xic_n00010.L5X)
